date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:23:43	290/290	---MCZ	200	added ('OK')	text/plain	etag:W/%22647708bd-6db%22	https://www.natancunha.com/robots.txt		(from )
02:23:46	55252/55252	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20May%202023%2013:03:51%20GMT	https://www.natancunha.com/	C:/Users/Natan%20Cunha's/Downloads/www.natancunha.com/www.natancunha.com/index.html	(from )
02:23:47	1329/1329	---M--	200	added ('OK')	image/png	etag:%22597c71e4a2c71537e7ebf1b11471e33333ccaaa2%22	https://thumbor.cartpanda.com/qQ18B9rBbGFKatZxFS3w_AkuXhc=/32x32/https://assets.mycartpanda.com/static/theme_images/10/df/5e/67038_5150604182.png	C:/Users/Natan%20Cunha's/Downloads/www.natancunha.com/thumbor.cartpanda.com/qQ18B9rBbGFKatZxFS3w_AkuXhc=/32x32/https_/assets.mycartpanda.com/static/theme_images/10/df/5e/67038_5150604182.png	(from https://www.natancunha.com/)
02:23:48	3938/3938	---M-Z	200	added ('OK')	text/css	etag:%225eb03e2d-f62%22	http://cdnjs.cloudflare.com/ajax/libs/cookieconsent2/3.0.3/cookieconsent.min.css	C:/Users/Natan%20Cunha's/Downloads/www.natancunha.com/cdnjs.cloudflare.com/ajax/libs/cookieconsent2/3.0.3/cookieconsent.min.css	(from https://www.natancunha.com/)
02:23:48	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2001%20Jun%202023%2005:23:48%20GMT	http://natancunhashopbarber.mycartpanda.com/themes/void/310879/0/67038/compiled/theme.css?v=1661122565	C:/Users/Natan%20Cunha's/Downloads/www.natancunha.com/natancunhashopbarber.mycartpanda.com/themes/void/310879/0/67038/compiled/theme.36b9d.delayed	(from https://www.natancunha.com/)
02:23:48	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%22269550530cc127b6aa5a35925a7de6ce%22	https://stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	C:/Users/Natan%20Cunha's/Downloads/www.natancunha.com/stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from https://www.natancunha.com/)
02:23:49	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2001%20Jun%202023%2005:23:49%20GMT	http://natancunhashopbarber.mycartpanda.com/themes/void/310879/67038/jquery.min.js?v=1615980265	C:/Users/Natan%20Cunha's/Downloads/www.natancunha.com/natancunhashopbarber.mycartpanda.com/themes/void/310879/67038/jquery.min.54402.delayed	(from https://www.natancunha.com/)
02:23:49	697091/697091	---MCZ	200	added ('OK')	text/css	date:Mon,%2029%20May%202023%2005:02:03%20GMT	https://natancunhashopbarber.mycartpanda.com/themes/void/310879/0/67038/compiled/theme.css?v=1661122565	C:/Users/Natan%20Cunha's/Downloads/www.natancunha.com/natancunhashopbarber.mycartpanda.com/themes/void/310879/0/67038/compiled/theme6b9d.css	(from https://www.natancunha.com/)
02:23:49	84345/84345	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2031%20May%202023%2006:08:45%20GMT	https://natancunhashopbarber.mycartpanda.com/themes/void/310879/67038/jquery.min.js?v=1615980265	C:/Users/Natan%20Cunha's/Downloads/www.natancunha.com/natancunhashopbarber.mycartpanda.com/themes/void/310879/67038/jquery.min4402.js	(from https://www.natancunha.com/)
02:23:51	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2001%20Jun%202023%2005:23:51%20GMT	http://natancunhashopbarber.mycartpanda.com/themes/void/assets/timer.png?v=123456	C:/Users/Natan%20Cunha's/Downloads/www.natancunha.com/natancunhashopbarber.mycartpanda.com/themes/void/assets/timer.8e0ac.delayed	(from https://www.natancunha.com/)
02:23:51	6044/6044	---MCZ	200	added ('OK')	application/javascript	etag:W/%226476104b-2637%22	https://www.natancunha.com/js/libs/ga-events.js?id=8413413902	C:/Users/Natan%20Cunha's/Downloads/www.natancunha.com/www.natancunha.com/js/libs/ga-events4d74.js	(from https://www.natancunha.com/)
02:23:51	81/81	---M--	200	added ('OK')	image/png	etag:%22647708bd-7d%22	https://natancunhashopbarber.mycartpanda.com/themes/void/assets/timer.png?v=123456	C:/Users/Natan%20Cunha's/Downloads/www.natancunha.com/natancunhashopbarber.mycartpanda.com/themes/void/assets/timere0ac.png	(from https://www.natancunha.com/)
02:23:52	46438/46438	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Jun%202023%2005:21:35%20GMT	https://www.natancunha.com/pages/biography	C:/Users/Natan%20Cunha's/Downloads/www.natancunha.com/www.natancunha.com/pages/biography.html	(from https://www.natancunha.com/)
02:23:53	47395/47395	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Jun%202023%2005:21:42%20GMT	https://www.natancunha.com/pages/equipments	C:/Users/Natan%20Cunha's/Downloads/www.natancunha.com/www.natancunha.com/pages/equipments.html	(from https://www.natancunha.com/)
02:23:53	41857/41857	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Jun%202023%2005:21:46%20GMT	https://www.natancunha.com/pages/contact	C:/Users/Natan%20Cunha's/Downloads/www.natancunha.com/www.natancunha.com/pages/contact.html	(from https://www.natancunha.com/)
02:23:53	1276/1276	---M--	200	added ('OK')	image/png	etag:%22a5073440391b1c9680244caf747117c2623f75cb%22	https://thumbor.cartpanda.com/kWIXb_XjpYEv7S8vDnc3MY6sMWg=/110x0/https://assets.mycartpanda.com/static/theme_images/10/df/5e/67038_6400096512.png	C:/Users/Natan%20Cunha's/Downloads/www.natancunha.com/thumbor.cartpanda.com/kWIXb_XjpYEv7S8vDnc3MY6sMWg=/110x0/https_/assets.mycartpanda.com/static/theme_images/10/df/5e/67038_6400096512.png	(from https://www.natancunha.com/)
02:23:53	1276/1276	---M--	200	added ('OK')	image/png	etag:%22a5073440391b1c9680244caf747117c2623f75cb%22	https://thumbor.cartpanda.com/TQCYCqvXRR6jev3dA4SIJm6sKV4=/110x0/https://assets.mycartpanda.com/static/theme_images/10/df/5e/67038_4000265190.png	C:/Users/Natan%20Cunha's/Downloads/www.natancunha.com/thumbor.cartpanda.com/TQCYCqvXRR6jev3dA4SIJm6sKV4=/110x0/https_/assets.mycartpanda.com/static/theme_images/10/df/5e/67038_4000265190.png	(from https://www.natancunha.com/)
02:23:53	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2001%20Jun%202023%2005:23:53%20GMT	http://natancunhashopbarber.mycartpanda.com/themes/void/assets/template_slider.png?v=123456	C:/Users/Natan%20Cunha's/Downloads/www.natancunha.com/natancunhashopbarber.mycartpanda.com/themes/void/assets/template_slider.fe0ac.delayed	(from https://www.natancunha.com/)
02:23:54	4045/4045	---MC-	200	added ('OK')	image/png	etag:W/%226476d8a3-22b6%22	https://natancunhashopbarber.mycartpanda.com/themes/void/assets/template_slider.png?v=123456	C:/Users/Natan%20Cunha's/Downloads/www.natancunha.com/natancunhashopbarber.mycartpanda.com/themes/void/assets/template_slidere0ac.png	(from https://www.natancunha.com/)
02:23:54	172944/172944	---M--	200	added ('OK')	image/jpeg	etag:%22b9cfcaf103f33ccf78addfe2029f2656d30d22d7%22	https://thumbor.cartpanda.com/lkY_YoiwwArVwQ72kZ3URBMrF5s=/800x0/https://assets.mycartpanda.com/static/theme_images/10/df/5e/67038_0152716715.jpg	C:/Users/Natan%20Cunha's/Downloads/www.natancunha.com/thumbor.cartpanda.com/lkY_YoiwwArVwQ72kZ3URBMrF5s=/800x0/https_/assets.mycartpanda.com/static/theme_images/10/df/5e/67038_0152716715.jpg	(from https://www.natancunha.com/)
02:23:54	107031/107031	---M--	200	added ('OK')	image/jpeg	etag:%229d8e196db037aaf4be2d9ecef7ad167f7702cc31%22	https://thumbor.cartpanda.com/iSpK15gkzplsvTy44lbbuUceNVA=/800x0/https://assets.mycartpanda.com/static/theme_images/10/df/5e/67038_5146223109.jpg	C:/Users/Natan%20Cunha's/Downloads/www.natancunha.com/thumbor.cartpanda.com/iSpK15gkzplsvTy44lbbuUceNVA=/800x0/https_/assets.mycartpanda.com/static/theme_images/10/df/5e/67038_5146223109.jpg	(from https://www.natancunha.com/)
02:23:54	77810/77810	---M--	200	added ('OK')	image/jpeg	etag:%2217e8e70ac236f05ca481bf2d21ae461e8b513a75%22	https://thumbor.cartpanda.com/-H9-KZi3M3Zu3z2Q2oSPQtIx8WE=/800x0/https://assets.mycartpanda.com/static/theme_images/10/df/5e/67038_0161954721.jpg	C:/Users/Natan%20Cunha's/Downloads/www.natancunha.com/thumbor.cartpanda.com/-H9-KZi3M3Zu3z2Q2oSPQtIx8WE=/800x0/https_/assets.mycartpanda.com/static/theme_images/10/df/5e/67038_0161954721.jpg	(from https://www.natancunha.com/)
02:23:56	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2001%20Jun%202023%2005:23:54%20GMT	http://natancunhashopbarber.mycartpanda.com/themes/void/assets/dummy.png?v=123456	C:/Users/Natan%20Cunha's/Downloads/www.natancunha.com/natancunhashopbarber.mycartpanda.com/themes/void/assets/dummy.15e0ac.delayed	(from https://www.natancunha.com/)
02:23:56	68483/68483	---M--	200	added ('OK')	image/jpeg	etag:%229f8f7438cfebd23eea96aed18c14ab701c9b3644%22	https://thumbor.cartpanda.com/-2k_XCG34ofvWjOV5bJK665Vvv4=/2048x0/https://assets.mycartpanda.com/static/theme_images/10/df/5e/67038_1261109535.jpg	C:/Users/Natan%20Cunha's/Downloads/www.natancunha.com/thumbor.cartpanda.com/-2k_XCG34ofvWjOV5bJK665Vvv4=/2048x0/https_/assets.mycartpanda.com/static/theme_images/10/df/5e/67038_1261109535.jpg	(from https://www.natancunha.com/)
02:23:56	68/68	---M--	200	added ('OK')	image/png	etag:%226476d8a3-78%22	https://natancunhashopbarber.mycartpanda.com/themes/void/assets/dummy.png?v=123456	C:/Users/Natan%20Cunha's/Downloads/www.natancunha.com/natancunhashopbarber.mycartpanda.com/themes/void/assets/dummye0ac.png	(from https://www.natancunha.com/)
02:23:56	4695/4695	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Jun%202023%2005:23:56%20GMT	https://www.natancunha.com/cdn-cgi/l/email-protection	C:/Users/Natan%20Cunha's/Downloads/www.natancunha.com/www.natancunha.com/cdn-cgi/l/email-protection.html	(from https://www.natancunha.com/)
02:23:57	1168/1168	---M--	200	added ('OK')	image/png	etag:%22f1f7f17ac2038180f3bd4360398c5f5ef7cfa02f%22	https://thumbor.cartpanda.com/kD0jxZeF-PkCb5UX7FVpCj8T4bI=/95x0/https://assets.mycartpanda.com/static/theme_images/10/df/5e/67038_2561420515.png	C:/Users/Natan%20Cunha's/Downloads/www.natancunha.com/thumbor.cartpanda.com/kD0jxZeF-PkCb5UX7FVpCj8T4bI=/95x0/https_/assets.mycartpanda.com/static/theme_images/10/df/5e/67038_2561420515.png	(from https://www.natancunha.com/)
02:23:58	61473/61473	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Jun%202023%2005:23:57%20GMT	https://www.natancunha.com/cart	C:/Users/Natan%20Cunha's/Downloads/www.natancunha.com/www.natancunha.com/cart.html	(from https://www.natancunha.com/)
02:23:58	301/301	---MC-	302	error ('Found')	text/html	date:Thu,%2001%20Jun%202023%2005:23:58%20GMT	https://www.natancunha.com/checkout	C:/Users/Natan%20Cunha's/Downloads/www.natancunha.com/www.natancunha.com/checkout.1a.delayed	(from https://www.natancunha.com/)
02:23:58	0/-1	---M--	302	error ('')			https://www.natancunha.com/checkout	C:/Users/Natan%20Cunha's/Downloads/www.natancunha.com/www.natancunha.com/checkout.1b.delayed	(from https://www.natancunha.com/)
02:23:59	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2001%20Jun%202023%2005:23:58%20GMT	http://natancunhashopbarber.mycartpanda.com/themes/void/assets/ajax-loader.gif?v=123456	C:/Users/Natan%20Cunha's/Downloads/www.natancunha.com/natancunhashopbarber.mycartpanda.com/themes/void/assets/ajax-loadere0ac.gif	(from https://www.natancunha.com/)
02:23:59	2804/2804	---MCZ	200	added ('OK')	image/gif	etag:W/%22647708bd-af4%22	https://natancunhashopbarber.mycartpanda.com/themes/void/assets/ajax-loader.gif?v=123456	C:/Users/Natan%20Cunha's/Downloads/www.natancunha.com/natancunhashopbarber.mycartpanda.com/themes/void/assets/ajax-loadere0ac.gif	(from https://www.natancunha.com/)
02:24:00	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%22646f1eba-4d7%22	https://www.natancunha.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/Users/Natan%20Cunha's/Downloads/www.natancunha.com/www.natancunha.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://www.natancunha.com/)
02:24:00	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2001%20Jun%202023%2005:23:59%20GMT	http://natancunhashopbarber.mycartpanda.com/themes/void/310879/0/67038/compiled/timer_all.css?v=1661122571	C:/Users/Natan%20Cunha's/Downloads/www.natancunha.com/natancunhashopbarber.mycartpanda.com/themes/void/310879/0/67038/compiled/timer_alla2a6.css	(from https://www.natancunha.com/)
02:24:00	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2001%20Jun%202023%2005:24:00%20GMT	http://natancunhashopbarber.mycartpanda.com/themes/void/310879/0/67038/compiled/timer_new.css?v=1661122572	C:/Users/Natan%20Cunha's/Downloads/www.natancunha.com/natancunhashopbarber.mycartpanda.com/themes/void/310879/0/67038/compiled/timer_new.219de9.delayed	(from https://www.natancunha.com/)
